LOOT_ROLL_NEED,"Разыгрывается: %2$s|Hitem:%3$d:%4$d:%5$d:%6$d|h[%7$s]|h%8$s. %1$s говорит: ""Мне это нужно""."
LOOT_ROLL_NEED_SELF,"Разыгрывается: %s|Hitem:%d:%d:%d:%d|h[%s]|h%s. Вы сказали: ""Мне это нужно""."
LOOT_ROLL_PASSED,%s отказывается от предмета %s|Hitem:%d:%d:%d:%d|h[%s]|h%s.
LOOT_ROLL_PASSED_SELF,Вы отказались от предмета %s|Hitem:%d:%d:%d:%d|h[%s]|h%s.
LOOT_ROLL_ROLLED_GREED,"Разыгрывается предмет %2$s|Hitem:%3$d:%4$d:%5$d:%6$d|h[%7$s]|h%8$s. Результат броска ""Не откажусь"" у игрока %9$s: %1$d."
LOOT_ROLL_ROLLED_NEED,"Разыгрывается предмет %2$s|Hitem:%3$d:%4$d:%5$d:%6$d|h[%7$s]|h%8$s. Результат броска ""Мне это нужно"" у игрока %9$s: %1$d."
LOOT_ROLL_WON,%s выигрывает предмет %s|Hitem:%d:%d:%d:%d|h[%s]|h%s.
LOOT_ROLL_WON_NO_SPAM_GREED,"%1$s выигрывает предмет %3$s|Hitem:%4$d:%5$d:%6$d:%7$d|h[%8$s]|h%9$s |cff818181(""Не откажусь"" – %2$d)|r."
LOOT_ROLL_WON_NO_SPAM_NEED,"%1$s выигрывает предмет %3$s|Hitem:%4$d:%5$d:%6$d:%7$d|h[%8$s]|h%9$s |cff818181(""Мне это нужно"" – %2$d)|r."
LOOT_ROLL_YOU_WON,Вы выиграли предмет %s|Hitem:%d:%d:%d:%d|h[%s]|h%s.
LOOT_ROLL_YOU_WON_NO_SPAM_GREED,"Вы выигрываете предмет %2$s|Hitem:%3$d:%4$d:%5$d:%6$d|h[%7$s]|h%8$s |cff818181(""Не откажусь"" – %1$d)|r."
LOOT_ROLL_YOU_WON_NO_SPAM_NEED,"вы выигрываете предмет %2$s|Hitem:%3$d:%4$d:%5$d:%6$d|h[%7$s]|h%8$s |cff818181(""Мне это нужно"" – %1$d)|r."
MANA_COST,Мана: %d
MANA_COST_PER_TIME,Мана: %d плюс %d/сек.
MELEE_ATTACK_POWER_TOOLTIP,Увеличивает урон от оружия ближнего боя на %.1f ед. урона в секунду.
MINUTES_ABBR,мин.
MINUTES_ABBR_P1,мин.
MINUTES,минута
MINUTES_P1,минут
NONEQUIPSLOT,Не надевается
OPTION_TOOLTIP_BUFFERING,"Тройная буферизация компенсирует пики частоты смены кадров, но может повышать задержку ввода на видеокартах c низкой производительностью.\nВключено: тройная буферизация\nОтключено: двойная буферизация"
OPTION_TOOLTIP_COMBAT_TEXT_SHOW_MANA,"Отображение информации о восполнении маны, ярости и энергии."
OPTION_TOOLTIP_DISABLE_SPAM_FILTER,Включение и отключение автоматической фильтрации навязчивой рекламы в каналах чата.
OPTION_TOOLTIP_ENABLE_ALL_SOUND,Включение или отключение звука.
OPTION_TOOLTIP_PARTY_CHAT_BUBBLES,"Отображение над головой персонажа текстовых сообщений, отправленных группой."
OPTION_TOOLTIP_USE_DESKTOP_GAMMA,Использование системных настроек гаммы.
PET_SPELL_NOPATH,Ваш питомец не может пройти.
PETITION_NUM_SIGNATURES_P1,%d подписей
PLAYER_COUNT_ALLIANCE_P1,%d игроков Альянса
PLAYER_COUNT_HORDE_P1,%d игроков Орды
PLUS_AMMO_DAMAGE_TEMPLATE,+ ед. урона в секунду от боеприпасов (%g)
PLUS_AMMO_SCHOOL_DAMAGE_TEMPLATE,+ %g %s ед. урона в секунду
PLUS_DAMAGE_TEMPLATE,+ %d - %d ед. урона
PLUS_DAMAGE_TEMPLATE_WITH_SCHOOL,+%d - %d ед. урона (%s)
PLUS_SINGLE_DAMAGE_TEMPLATE,+ %d ед. урона
PROMOTE,Сделать лидером
PVP_RANK_CIVILIAN_FEMALE,Мирный житель
RAGE_COST,Ярость: %d
RAGE_COST_PER_TIME,Ярость: %d плюс %d/сек
RAID_INSTANCE_WARNING_HOURS_P1,"ВНИМАНИЕ! Зона ""%s"" будет обновлена через %d часов."
RAID_INSTANCE_WARNING_MIN_P1,"ВНИМАНИЕ! Зона ""%s"" будет обновлена через %d минут."
RAID_INSTANCE_WARNING_MIN_SOON_P1,"Зона ""%s"" будет обновлена через %d минут. Если вы не покинете эту зону, вас перенесет в связанное с камнем возвращения место."
RANGED_ATTACK_POWER_TOOLTIP,Увеличивает урон от оружия дальнего боя на %.1f ед. урона в секунду.
SECONDS_ABBR,сек.
SECONDS_ABBR_P1,сек.
SECONDS,секунда
SECONDS_P1,секунд
SEND_MONEY,Отпр. денег
COD,Нал. платеж
SHOW_DAMAGE_TEXT,Урон цели
SHOW_PET_MELEE_DAMAGE,"Урон, нанесенный питомцем"
SILVER,серебряных
SINGLE_DAMAGE_TEMPLATE,Урон: %d
SLASH_WHISPER10,/send
SLASH_WHISPER5,/send
SLASH_WHISPER6,/w
SLASH_WHISPER7,/whisper
SLASH_WHISPER8,/t
SLASH_WHISPER9,/tell
SPELL_FAILED_ONLY_DAYTIME,Можно использовать только днём.
SPELL_FAILED_ONLY_NIGHTTIME,Можно использовать только ночью.
SPELL_STAT0_NAME,Сила
SPELL_STAT1_NAME,Ловкость
SPELL_STAT2_NAME,Выносливость
SPELL_STAT3_NAME,Интеллект
SPELL_STAT4_NAME,Дух
SPELL_TIME_REMAINING_DAYS,Осталось %d д.
SPELL_TIME_REMAINING_DAYS_P1,Осталось %d д.
SPELL_TIME_REMAINING_HOURS,Осталось %d ч.
SPELL_TIME_REMAINING_HOURS_P1,Осталось %d ч.
SPELL_TIME_REMAINING_MIN,Осталось %d мин.
SPELL_TIME_REMAINING_MIN_P1,Осталось %d мин.
SPELL_TIME_REMAINING_SEC,Осталось %d сек.
SPELL_TIME_REMAINING_SEC_P1,Осталось %d сек.
SPELL_TOTEMS,"Инструменты: "
STUCK_OPTION,Перенестись на кладбище
TICKET_STATUS1,Вы отправили запрос.
TOOLTIP_TALENT_PREREQ_P1,"Требуется %d очков в таланте ""%s"""
UNIT_SKINNABLE,Можно снять шкуру
WHO_FRAME_TOTAL_TEMPLATE_P1,Найдено игроков: %d
WHO_NUM_RESULTS_P1,Всего игроков: %d
